"Date","Price","Open","High","Low","Change %"
"Apr 2018","4.190","4.190","4.190","4.190","-29.70%"
"Mar 2018","5.960","5.960","5.960","5.960","0.00%"
"Feb 2018","5.960","5.960","5.960","5.960","0.00%"
"Jan 2018","5.960","5.960","5.960","5.960","0.00%"
"Dec 2017","5.960","5.960","5.960","5.960","0.00%"
"Nov 2017","5.960","5.960","5.960","5.960","2.23%"
"Oct 2017","5.830","6.010","6.010","5.580","0.34%"
"Sep 2017","5.810","5.540","6.250","5.050","8.80%"
"Aug 2017","5.340","4.470","5.340","4.150","21.92%"
"Jul 2017","4.380","4.320","4.760","4.250","-0.23%"
"Jun 2017","4.390","3.400","4.800","3.330","33.43%"
"May 2017","3.290","2.260","3.290","2.260","38.82%"
"Apr 2017","2.370","2.040","2.370","1.530","48.12%"
"Mar 2017","1.600","1.750","1.950","1.130","-21.57%"
"Feb 2017","2.040","2.110","2.820","1.830","-9.33%"
"Jan 2017","2.250","2.420","2.610","1.850","-6.64%"
"Dec 2016","2.410","2.540","2.680","2.050","-10.07%"
"Nov 2016","2.680","2.750","3.170","2.500","3.08%"
"Oct 2016","2.600","3.310","3.310","2.330","-4.41%"
"Sep 2016","2.720","3.490","3.680","2.660","-23.38%"
"Aug 2016","3.550","2.430","3.920","2.230","42.00%"
"Jul 2016","2.500","2.050","2.630","1.780","10.62%"
"Jun 2016","2.260","3.080","4.290","2.260","-38.25%"
"May 2016","3.660","5.450","5.610","3.660","-34.88%"
"Apr 2016","5.620","5.490","7.400","4.873","3.31%"
"Mar 2016","5.440","1.670","5.530","1.670","233.74%"
"Feb 2016","1.630","2.170","2.950","1.410","-22.01%"
"Jan 2016","2.090","2.200","2.910","1.170","19.43%"
"Dec 2015","1.750","1.970","2.880","1.230","-22.22%"
"Nov 2015","2.250","4.820","4.900","2.220","-50.66%"
"Oct 2015","4.560","9.060","9.060","4.560","-50.86%"
"Sep 2015","9.280","9.600","9.860","8.760","-3.23%"
"Aug 2015","9.590","10.100","10.100","9.030","-6.62%"
"Jul 2015","10.270","10.160","10.600","9.250","2.50%"
"Jun 2015","10.020","8.260","10.020","7.680","20.58%"
"May 2015","8.310","7.200","8.680","7.200","17.37%"
"Apr 2015","7.080","6.570","7.420","6.180","5.67%"
"Mar 2015","6.700","8.050","8.160","6.280","-17.79%"
"Feb 2015","8.150","9.680","9.680","8.150","-14.30%"
"Jan 2015","9.510","10.150","10.320","9.420","-8.82%"
"Dec 2014","10.430","9.370","11.180","8.960","9.10%"
"Nov 2014","9.560","10.330","10.330","9.350","-8.17%"
"Oct 2014","10.410","10.380","11.120","10.380","15.15%"
"Mar 2013","9.040","9.040","9.040","9.040","3.79%"
"Feb 2013","8.710","8.090","9.300","7.870","7.66%"
"Jan 2013","8.090","9.530","9.530","8.090","-25.44%"
"Oct 2012","10.850","9.780","10.850","9.690","12.20%"
"Sep 2012","9.670","11.250","11.250","9.670","-14.04%"
"Aug 2012","11.250","10.230","11.530","9.950","9.44%"
"Jul 2012","10.280","10.630","11.270","9.690","-3.29%"
"Jun 2012","10.630","12.840","20.850","10.130","4.73%"
"May 2012","10.150","10.780","10.810","10.150","-5.84%"
"Apr 2012","10.780","10.630","11.620","10.060","3.26%"
"Mar 2012","10.440","11.930","12.100","10.030","-14.91%"
"Feb 2012","12.270","11.740","12.270","11.540","-19.75%"
