"Date","Price","Open","High","Low","Change %"
"Jul 02, 2018","16.240","16.320","16.360","16.200","-0.37%"
"Jul 03, 2018","16.730","16.360","16.750","16.280","3.02%"
"Jul 04, 2018","16.920","16.730","17.810","16.730","1.14%"
"Jul 05, 2018","16.820","16.920","18.620","16.790","-0.59%"
"Jul 06, 2018","16.730","16.780","16.880","16.730","-0.54%"
"Jul 09, 2018","16.510","16.780","16.780","16.400","-1.31%"
"Jul 10, 2018","16.980","16.510","16.980","16.510","2.85%"
"Jul 11, 2018","17.780","16.980","17.910","16.980","4.71%"
"Jul 12, 2018","17.800","19.070","19.070","17.750","0.11%"
"Jul 13, 2018","17.380","17.800","17.910","17.380","-2.36%"
"Jul 16, 2018","17.700","17.380","17.700","17.380","1.84%"
"Jul 17, 2018","17.060","17.700","17.710","17.060","-3.62%"
"Jul 18, 2018","17.030","17.650","17.650","16.740","-0.18%"
"Jul 19, 2018","17.100","17.200","17.380","16.930","0.41%"
"Jul 20, 2018","16.670","17.100","17.380","16.520","-2.51%"
"Jul 23, 2018","16.200","16.690","16.690","16.180","-2.82%"
"Jul 24, 2018","17.870","16.200","17.920","16.200","10.31%"
"Jul 25, 2018","17.060","17.870","17.980","16.870","-4.53%"
"Jul 26, 2018","17.630","16.970","17.650","16.900","3.34%"
"Jul 27, 2018","17.390","17.650","17.790","17.340","-1.36%"
"Jul 30, 2018","17.620","17.660","17.860","17.570","1.32%"
"Jul 31, 2018","17.940","17.840","17.990","17.770","1.82%"
"Aug 01, 2018","17.770","18.010","18.140","17.710","-0.95%"
"Aug 02, 2018","18.280","17.770","18.660","17.770","2.87%"
"Aug 03, 2018","18.500","18.780","18.780","18.140","1.20%"
"Aug 06, 2018","18.900","18.360","19.080","18.360","2.16%"
"Aug 07, 2018","19.050","18.990","19.230","18.860","0.79%"
